"window","1","2","3","prop_x","prop_y","mean_dist"
1,0,1,24,0.02,0.98,42.87045763908
6,0,1,24,0.02,0.98,53.6305946012
11,0,0,25,0,1,56.0318209564
16,0,0,25,0,1,57.9658476328
21,0,0,25,0,1,59.5198475652
26,0,0,25,0,1,60.8930068916
31,0,1,24,0.02,0.98,62.16818893
36,0,1,24,0.02,0.98,63.4799617712
41,0,1,24,0.02,0.98,64.9429756596
46,0,1,24,0.02,0.98,66.4267534924
51,0,1,24,0.02,0.98,68.1328525452
56,0,0,25,0,1,69.6250690236
61,0,1,24,0.02,0.98,71.1078045516
66,0,1,24,0.02,0.98,73.3747007524
71,0,2,23,0.04,0.96,75.7968144264
76,1,3,21,0.1,0.9,78.2648279152
81,1,4,20,0.12,0.88,80.9127348312
86,1,5,19,0.14,0.86,83.359245004
91,1,5,19,0.14,0.86,84.7468894848
96,1,5,19,0.14,0.86,85.7754044528
101,0,4,21,0.08,0.92,86.2745792696
106,0,4,21,0.08,0.92,87.6380239056
111,0,2,23,0.04,0.96,89.513222496
116,0,4,21,0.08,0.92,91.6908191412
121,0,3,22,0.06,0.94,94.85529723
126,0,3,22,0.06,0.94,98.96956681
131,0,2,23,0.04,0.96,104.0736552892
136,0,2,23,0.04,0.96,112.1095631332
141,0,0,25,0,1,122.272994424
146,0,0,25,0,1,NA
